area,gisjoin1950,gisjoin2010
.49661899,G06003700009,G0600370119320
.33511201,G06003700009,G0600370117510
.122149,G06003700009,G0600370119340
.424797,G06003700009,G0600370119310
.033831399,G06003700009,G0600370119400
.55687398,G06003700009,G0600370117530
.0315708,G06003700009,G0600370119800
.20183501,G06003700009,G0600370117405
.0205661,G06003700009,G0600370120010
1.05222,G06003700009,G0600370119900
.0054792301,G06003700009,G0600370119700
.0058398,G06003700009,G0600370120300
.020399701,G06003700009,G0600370120020
.32572401,G06003700009,G0600370117520
.0163667,G06003700009,G0600370127520
.00193105,G06003700009,G0600370109601
.34269601,G06003700009,G0600370120400
1.80057,G06003700009,G0600370117303
.0077493801,G06003700004A,G0600370117102
.60870397,G06003700004A,G0600370104822
.69676799,G06003700004A,G0600370104403
.96685201,G06003700004A,G0600370119202
.93232399,G06003700004A,G0600370119201
1.6938699,G06003700004A,G0600370119002
.0200768,G06003700004A,G0600370119001
.681117,G06003700004A,G0600370104401
.53117198,G06003700004A,G0600370104620
.0224995,G06003700004A,G0600370104320
.749717,G06003700004A,G0600370109604
.634776,G06003700004A,G0600370109603
.531802,G06003700004A,G0600370104821
.00297297,G06003700004A,G0600370104704
.539621,G06003700004A,G0600370104404
.59213698,G06003700004A,G0600370104610
.0040833,G06003700004A,G0600370119310
1.0877301,G06003700004A,G0600370119400
1.28958,G06003700004A,G0600370109400
.53100401,G06003700004A,G0600370104500
1.1210001,G06003700004A,G0600370104810
1.2105,G06003700004A,G0600370119800
.0065301601,G06003700004A,G0600370119700
.0207275,G06003700004A,G0600370121210
.90440702,G06003700004A,G0600370109500
.0354538,G06003700004A,G0600370109100
.000449596,G06003700004A,G0600370320300
2.24593,G06003700004A,G0600370109601
.55240202,G06003700004A,G0600370104310
.00170898,G06003700004A,G0600370104701
.0070713898,G06003700025A,G0600370141101
.013431,G06003700025A,G0600370123601
.0071476102,G06003700025A,G0600370124500
.0131421,G06003700025A,G0600370124600
.69340003,G06003700025A,G0600370124000
.024697101,G06003700025A,G0600370124400
1.36185,G06003700025A,G0600370124700
1.7452,G06003700025A,G0600370143400
.0143232,G06003700025A,G0600370143500
.00093256199,G06003700391A,G0600370311700
.00102578,G06003700391A,G0600370311802
.0116972,G06003700391A,G0600370310900
.017220199,G06003700391A,G0600370311500
2.12304,G06003700391A,G0600370310800
.0051114699,G06003700390A,G0600370311600
.000938932,G06003700390A,G0600370125310
1.46433,G06003700390A,G0600370311500
.93167502,G06003700390A,G0600370311400
.0070564402,G06003700390A,G0600370125600
.000055335098,G06003700390A,G0600370311300
.0089101801,G06003700390C,G0600370311600
.0155495,G06003700390C,G0600370980009
2.32778,G06003700390C,G0600370311700
.0067364802,G06003700390C,G0600370311500
.0026467899,G06003700390C,G0600370310800
.018945601,G06003700390B,G0600370189701
2.7827499,G06003700390B,G0600370311600
.00042021801,G06003700390B,G0600370980009
.00030399699,G06003700390B,G0600370311700
.0100258,G06003700390B,G0600370143100
.00157677,G06003700390B,G0600370311500
.0021305601,G06003700390B,G0600370125600
.0000101618,G06003700390B,G0600370320000
.575409,G06003700391B,G0600370311801
.0052159401,G06003700391B,G0600370980009
.017666901,G06003700391B,G0600370301602
.014692,G06003700391B,G0600370311700
.79484302,G06003700391B,G0600370311802
.00012215599,G06003700391B,G0600370310702
.0056031202,G06003700391B,G0600370310800
2.1835299e-06,G06003700391B,G0600370310703
.0090262797,G06003700394,G0600370311801
.0132692,G06003700394,G0600370310602
.00017379,G06003700394,G0600370310202
.0030179301,G06003700394,G0600370301502
.00050622103,G06003700394,G0600370301501
.000238099,G06003700394,G0600370301602
